regionRes,provRes,cityMunRes,regionResGeo,psgc
Region IV-B: MIMAROPA,PALAWAN,BATARAZA,Region IV-B,PH175305000
Region IV-B: MIMAROPA,PALAWAN,QUEZON,Region IV-B,PH175317000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),DARAM,Region VIII,PH086006000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),HINABANGAN,Region VIII,PH086008000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,DINAS,Region IX,PH097306000
CARAGA,SURIGAO DEL NORTE,ALEGRIA,Region XIII,PH166701000
CARAGA,SURIGAO DEL SUR,CANTILAN,Region XIII,PH166805000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,BONGABONG,Region IV-B,PH175203000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,POLA,Region IV-B,PH175210000
Region IV-B: MIMAROPA,ROMBLON,SAN AGUSTIN,Region IV-B,PH175911000
Region IV-B: MIMAROPA,ROMBLON,SANTA FE,Region IV-B,PH175915000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,MANUKAN,Region IX,PH097207000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,DIPLAHAN,Region IX,PH098303000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,TITAY,Region IX,PH098315000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,TUNGAWAN,Region IX,PH098316000
Region XI: Davao Region,DAVAO OCCIDENTAL,DON MARCELINO,Region XI,PH118601000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),TULUNAN,Region XII,PH124714000
CAR,ABRA,DAGUIOMAN,Cordillera Administrative Region,PH140105000
CAR,ABRA,MANABO,Cordillera Administrative Region,PH140116000
CAR,MOUNTAIN PROVINCE,BARLIG,Cordillera Administrative Region,PH144401000
BARMM,LANAO DEL SUR,TUBARAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153628000
BARMM,MAGUINDANAO,KABUNTALAN (TUMBAO),Bangsamoro Autonomous Region in Muslim Mindanao,PH153814000
BARMM,MAGUINDANAO,SOUTH UPI,Bangsamoro Autonomous Region in Muslim Mindanao,PH153817000
BARMM,SULU,PANGUTARAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH156608000
CARAGA,AGUSAN DEL SUR,TRENTO,Region XIII,PH160312000
CARAGA,SURIGAO DEL SUR,CAGWAIT,Region XIII,PH166804000
CARAGA,SURIGAO DEL SUR,CARMEN,Region XIII,PH166806000
CARAGA,SURIGAO DEL SUR,TAGO,Region XIII,PH166818000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,ABRA DE ILOG,Region IV-B,PH175101000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,BULALACAO (SAN PEDRO),Region IV-B,PH175204000
Region IV-B: MIMAROPA,PALAWAN,CULION,Region IV-B,PH175322000
Region I: Ilocos Region,ILOCOS SUR,SANTIAGO,Region I,PH012927000
Region VII: Central Visayas,CEBU,BORBON,Region VII,PH072213000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),SANTA RITA,Region VIII,PH086017000
BARMM,SULU,TAPUL,Bangsamoro Autonomous Region in Muslim Mindanao,PH156614000
Region IV-B: MIMAROPA,MARINDUQUE,BUENAVISTA,Region IV-B,PH174002000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,LUBANG,Region IV-B,PH175104000
Region IV-B: MIMAROPA,PALAWAN,SAN VICENTE,Region IV-B,PH175319000
CAR,BENGUET,TUBLAY,Cordillera Administrative Region,PH141114000
CAR,APAYAO,KABUGAO (CAPITAL),Cordillera Administrative Region,PH148104000
BARMM,LANAO DEL SUR,KAPAI,Bangsamoro Autonomous Region in Muslim Mindanao,PH153610000
BARMM,SULU,INDANAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH156601000
CARAGA,AGUSAN DEL SUR,BUNAWAN,Region XIII,PH160302000
Region IV-B: MIMAROPA,PALAWAN,BALABAC,Region IV-B,PH175304000
Region IV-B: MIMAROPA,ROMBLON,BANTON,Region IV-B,PH175902000
Region V: Bicol Region,CAMARINES SUR,SAN FERNANDO,Region V,PH051732000
Region I: Ilocos Region,LA UNION,SANTO TOMAS,Region I,PH013317000
Region II: Cagayan Valley,CAGAYAN,AMULUNG,Region II,PH021504000
Region III: Central Luzon,NUEVA ECIJA,GABALDON (BITULOK & SABANI),Region III,PH034907000
Region III: Central Luzon,TARLAC,MAYANTOC,Region III,PH036908000
Region IV-A: CALABARZON,BATANGAS,BALETE,Region IV-A,PH041004000
Region IV-A: CALABARZON,BATANGAS,LAUREL,Region IV-A,PH041011000
Region V: Bicol Region,CAMARINES SUR,MINALABAC,Region V,PH051722000
Region V: Bicol Region,MASBATE,CLAVERIA,Region V,PH054107000
Region V: Bicol Region,SORSOGON,BULAN,Region V,PH056203000
Region V: Bicol Region,SORSOGON,MATNOG,Region V,PH056212000
Region VI: Western Visayas,ILOILO,BAROTAC VIEJO,Region VI,PH063008000
Region VI: Western Visayas,ILOILO,SAN DIONISIO,Region VI,PH063038000
Region VI: Western Visayas,GUIMARAS,SAN LORENZO,Region VI,PH067904000
Region VIII: Eastern Visayas,EASTERN SAMAR,BALANGKAYAN,Region VIII,PH082603000
Region VIII: Eastern Visayas,EASTERN SAMAR,GENERAL MACARTHUR,Region VIII,PH082607000
Region VIII: Eastern Visayas,EASTERN SAMAR,LAWAAN,Region VIII,PH082612000
Region VIII: Eastern Visayas,EASTERN SAMAR,ORAS,Region VIII,PH082617000
Region VIII: Eastern Visayas,LEYTE,ALANGALANG,Region VIII,PH083702000
Region VIII: Eastern Visayas,LEYTE,BATO,Region VIII,PH083707000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),ALMAGRO,Region VIII,PH086001000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,LABASON,Region IX,PH097205000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,DUMINGAG,Region IX,PH097308000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,PITOGO,Region IX,PH097338000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,Region IX,PH097341000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,GUIPOS,Region IX,PH097343000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,MABUHAY,Region IX,PH098307000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,LAKE SEBU,Region XII,PH126319000
CAR,ABRA,MALIBCONG,Cordillera Administrative Region,PH140115000
BARMM,MAGUINDANAO,GEN. S.K. PENDATUN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153819000
CARAGA,AGUSAN DEL NORTE,REMEDIOS T. ROMUALDEZ,Region XIII,PH160212000
CARAGA,AGUSAN DEL SUR,SANTA JOSEFA,Region XIII,PH160310000
CARAGA,DINAGAT ISLANDS,BASILISA (RIZAL),Region XIII,PH168501000
CARAGA,DINAGAT ISLANDS,LORETO,Region XIII,PH168505000
Region IV-B: MIMAROPA,ROMBLON,SAN FERNANDO,Region IV-B,PH175913000
Region IV-B: MIMAROPA,ROMBLON,FERROL,Region IV-B,PH175916000
Region I: Ilocos Region,PANGASINAN,AGNO,Region I,PH015501000
Region I: Ilocos Region,PANGASINAN,BAUTISTA,Region I,PH015510000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,KUMALARANG,Region IX,PH097311000
CARAGA,SURIGAO DEL NORTE,SANTA MONICA (SAPAO),Region XIII,PH166721000
Region IV-B: MIMAROPA,PALAWAN,BUSUANGA,Region IV-B,PH175307000
Region I: Ilocos Region,ILOCOS NORTE,PIDDIG,Region I,PH012818000
Region I: Ilocos Region,ILOCOS SUR,TAGUDIN,Region I,PH012933000
Region I: Ilocos Region,PANGASINAN,MAPANDAN,Region I,PH015528000
Region IV-A: CALABARZON,BATANGAS,TINGLOY,Region IV-A,PH041033000
Region IV-A: CALABARZON,QUEZON,SAMPALOC,Region IV-A,PH045639000
Region V: Bicol Region,CAMARINES SUR,BULA,Region V,PH051706000
Region V: Bicol Region,CAMARINES SUR,SAGÑAY,Region V,PH051731000
Region III: Central Luzon,NUEVA ECIJA,CARRANGLAN,Region III,PH034905000
Region IV-A: CALABARZON,BATANGAS,AGONCILLO,Region IV-A,PH041001000
Region IV-A: CALABARZON,QUEZON,REAL,Region IV-A,PH045638000
Region IV-B: MIMAROPA,ROMBLON,SANTA MARIA (IMELDA),Region IV-B,PH175917000
Region I: Ilocos Region,ILOCOS SUR,SANTA MARIA,Region I,PH012926000
Region IV-A: CALABARZON,QUEZON,ATIMONAN,Region IV-A,PH045603000
Region IV-A: CALABARZON,QUEZON,PEREZ,Region IV-A,PH045633000
Region V: Bicol Region,CAMARINES SUR,SAN JOSE,Region V,PH051733000
Region V: Bicol Region,MASBATE,BALUD,Region V,PH054103000
Region V: Bicol Region,MASBATE,SAN JACINTO,Region V,PH054119000
Region V: Bicol Region,SORSOGON,CASIGURAN,Region V,PH056205000
Region I: Ilocos Region,ILOCOS SUR,SAN EMILIO,Region I,PH012917000
Region V: Bicol Region,ALBAY,MALINAO,Region V,PH050510000
Region V: Bicol Region,CAMARINES SUR,PASACAO,Region V,PH051727000
Region V: Bicol Region,CATANDUANES,GIGMOTO,Region V,PH052005000
Region VI: Western Visayas,CAPIZ,MA-AYON,Region VI,PH061907000
Region VI: Western Visayas,ILOILO,DUEÑAS,Region VI,PH063017000
Region VII: Central Visayas,BOHOL,SEVILLA,Region VII,PH071239000
Region VII: Central Visayas,BOHOL,TALIBON,Region VII,PH071243000
Region VII: Central Visayas,CEBU,BARILI,Region VII,PH072210000
Region VII: Central Visayas,CEBU,MADRIDEJOS,Region VII,PH072228000
Region VII: Central Visayas,CEBU,TABOGON,Region VII,PH072248000
Region VII: Central Visayas,NEGROS ORIENTAL,BINDOY (PAYABON),Region VII,PH074607000
Region VII: Central Visayas,NEGROS ORIENTAL,TAYASAN,Region VII,PH074622000
Region VIII: Eastern Visayas,NORTHERN SAMAR,CAPUL,Region VIII,PH084804000
Region VIII: Eastern Visayas,NORTHERN SAMAR,SAN ISIDRO,Region VIII,PH084818000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,Region IX,PH097211000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,TAMBULIG,Region IX,PH097328000
Region X: Northern Mindanao,BUKIDNON,SAN FERNANDO,Region X,PH101318000
Region X: Northern Mindanao,BUKIDNON,CABANGLASAN,Region X,PH101322000
Region X: Northern Mindanao,LANAO DEL NORTE,KAUSWAGAN,Region X,PH103507000
Region XI: Davao Region,DAVAO DEL SUR,MALALAG,Region XI,PH112408000
Region XI: Davao Region,DAVAO ORIENTAL,BOSTON,Region XI,PH112503000
Region XI: Davao Region,DAVAO ORIENTAL,CARAGA,Region XI,PH112504000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),MATALAM,Region XII,PH124708000
Region VII: Central Visayas,BOHOL,DIMIAO,Region VII,PH071220000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,MIDSALIP,Region IX,PH097318000
Region X: Northern Mindanao,LANAO DEL NORTE,SULTAN NAGA DIMAPORO (KAROMATAN),Region X,PH103506000
Region VII: Central Visayas,BOHOL,CORELLA,Region VII,PH071215000
Region VIII: Eastern Visayas,BILIRAN,ALMERIA,Region VIII,PH087801000
Region VIII: Eastern Visayas,BILIRAN,CULABA,Region VIII,PH087805000
Region X: Northern Mindanao,LANAO DEL NORTE,LINAMON,Region X,PH103510000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,BALIANGAO,Region X,PH104202000
Region X: Northern Mindanao,MISAMIS ORIENTAL,BINUANGAN,Region X,PH104304000
Region X: Northern Mindanao,MISAMIS ORIENTAL,MAGSAYSAY (LINUGOS),Region X,PH104317000
Region XI: Davao Region,DAVAO OCCIDENTAL,JOSE ABAD SANTOS (TRINIDAD),Region XI,PH118602000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),ARAKAN,Region XII,PH124718000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,SIRAWAI,Region IX,PH097220000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,DUMALINAO,Region IX,PH097307000
Region X: Northern Mindanao,BUKIDNON,DAMULOG,Region X,PH101302000
Region X: Northern Mindanao,BUKIDNON,KADINGILAN,Region X,PH101306000
Region X: Northern Mindanao,MISAMIS ORIENTAL,GITAGUM,Region X,PH104309000
Region X: Northern Mindanao,MISAMIS ORIENTAL,LUGAIT,Region X,PH104316000
Region XI: Davao Region,DAVAO OCCIDENTAL,SARANGANI,Region XI,PH118605000
CAR,BENGUET,BOKOD,Cordillera Administrative Region,PH141104000
BARMM,LANAO DEL SUR,MAROGONG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153631000
BARMM,MAGUINDANAO,BULDON,Bangsamoro Autonomous Region in Muslim Mindanao,PH153802000
BARMM,MAGUINDANAO,BULUAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153803000
BARMM,MAGUINDANAO,TALAYAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153816000
CARAGA,SURIGAO DEL NORTE,GENERAL LUNA,Region XIII,PH166710000
Region IV-B: MIMAROPA,ROMBLON,ALCANTARA,Region IV-B,PH175901000
Region I: Ilocos Region,ILOCOS NORTE,ADAMS,Region I,PH012801000
Region V: Bicol Region,MASBATE,DIMASALANG,Region V,PH054108000
Region V: Bicol Region,MASBATE,ESPERANZA,Region V,PH054109000
Region VI: Western Visayas,ANTIQUE,LIBERTAD,Region VI,PH060610000
Region VI: Western Visayas,ILOILO,ANILAO,Region VI,PH063003000
Region VIII: Eastern Visayas,LEYTE,LA PAZ,Region VIII,PH083728000
Region VIII: Eastern Visayas,NORTHERN SAMAR,GAMAY,Region VIII,PH084807000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),SAN JORGE,Region VIII,PH086025000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,HINUNDAYAN,Region VIII,PH086404000
BARMM,BASILAN,LANTAWAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH150703000
BARMM,LANAO DEL SUR,BAYANG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153604000
BARMM,LANAO DEL SUR,BUTIG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153607000
CARAGA,SURIGAO DEL SUR,LINGIG,Region XIII,PH166812000
Region I: Ilocos Region,ILOCOS NORTE,CARASI,Region I,PH012807000
Region I: Ilocos Region,ILOCOS SUR,SUGPON,Region I,PH012931000
Region I: Ilocos Region,ILOCOS SUR,SUYO,Region I,PH012932000
Region I: Ilocos Region,LA UNION,PUGO,Region I,PH013312000
Region I: Ilocos Region,LA UNION,SUDIPEN,Region I,PH013319000
Region VI: Western Visayas,ANTIQUE,PATNONGON,Region VI,PH060612000
Region VI: Western Visayas,NEGROS OCCIDENTAL,SALVADOR BENEDICTO,Region VI,PH064532000
Region VIII: Eastern Visayas,NORTHERN SAMAR,ALLEN,Region VIII,PH084801000
Region VIII: Eastern Visayas,NORTHERN SAMAR,LAS NAVAS,Region VIII,PH084810000
Region VIII: Eastern Visayas,NORTHERN SAMAR,PALAPAG,Region VIII,PH084814000
Region VIII: Eastern Visayas,NORTHERN SAMAR,SILVINO LOBOS,Region VIII,PH084822000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,PINTUYAN,Region VIII,PH086411000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,SIBUTAD,Region IX,PH097217000
BARMM,LANAO DEL SUR,BALINDONG (WATU),Bangsamoro Autonomous Region in Muslim Mindanao,PH153603000
BARMM,MAGUINDANAO,DATU ANGGAL MIDTIMBANG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153831000
CARAGA,AGUSAN DEL SUR,VERUELA,Region XIII,PH160313000
Region IV-B: MIMAROPA,PALAWAN,CUYO,Region IV-B,PH175310000
Region I: Ilocos Region,ILOCOS SUR,GALIMUYOD,Region I,PH012909000
Region I: Ilocos Region,ILOCOS SUR,SAN ILDEFONSO,Region I,PH012919000
Region II: Cagayan Valley,NUEVA VIZCAYA,ALFONSO CASTANEDA,Region II,PH025015000
Region IV-A: CALABARZON,QUEZON,PITOGO,Region IV-A,PH045634000
Region V: Bicol Region,CAMARINES NORTE,VINZONS,Region V,PH051612000
Region V: Bicol Region,CAMARINES SUR,SIRUMA,Region V,PH051735000
Region V: Bicol Region,MASBATE,PLACER,Region V,PH054117000
Region VIII: Eastern Visayas,EASTERN SAMAR,TAFT,Region VIII,PH082623000
Region VIII: Eastern Visayas,LEYTE,TABONTABON,Region VIII,PH083746000
Region VIII: Eastern Visayas,NORTHERN SAMAR,LAPINIG,Region VIII,PH084809000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),MATUGUINAO,Region VIII,PH086011000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),SANTO NIÑO,Region VIII,PH086018000
Region VIII: Eastern Visayas,BILIRAN,MARIPIPI,Region VIII,PH087807000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,LA LIBERTAD,Region IX,PH097204000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,BACUNGAN (LEON T. POSTIGO),Region IX,PH097226000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,KALAWIT,Region IX,PH097227000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,SANTO NIÑO,Region XII,PH126318000
BARMM,LANAO DEL SUR,SAGUIARAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153625000
CARAGA,SURIGAO DEL NORTE,DAPA,Region XIII,PH166707000
CARAGA,SURIGAO DEL SUR,CARRASCAL,Region XIII,PH166807000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,BACO,Region IV-B,PH175201000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,TAMPILISAN,Region IX,PH097221000
BARMM,LANAO DEL SUR,BINIDAYAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153605000
BARMM,MAGUINDANAO,SHARIFF SAYDONA MUSTAPHA,Bangsamoro Autonomous Region in Muslim Mindanao,PH153837000
Region I: Ilocos Region,ILOCOS SUR,BANAYOYO,Region I,PH012902000
Region I: Ilocos Region,ILOCOS SUR,SIGAY,Region I,PH012929000
BARMM,BASILAN,AKBAR,Bangsamoro Autonomous Region in Muslim Mindanao,PH150708000
Region IV-B: MIMAROPA,PALAWAN,ARACELI,Region IV-B,PH175303000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,SOMINOT (DON MARIANO MARCOS),Region IX,PH097340000
BARMM,BASILAN,SUMISIP,Bangsamoro Autonomous Region in Muslim Mindanao,PH150705000
CARAGA,AGUSAN DEL NORTE,KITCHARAO,Region XIII,PH160206000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,CALINTAAN,Region IV-B,PH175102000
CARAGA,AGUSAN DEL SUR,LORETO,Region XIII,PH160305000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,PALUAN,Region IV-B,PH175107000
Region V: Bicol Region,MASBATE,MILAGROS,Region V,PH054112000
Region V: Bicol Region,MASBATE,SAN FERNANDO,Region V,PH054118000
Region VI: Western Visayas,ILOILO,BINGAWAN,Region VI,PH063010000
Region VI: Western Visayas,ILOILO,SAN RAFAEL,Region VI,PH063042000
Region VIII: Eastern Visayas,EASTERN SAMAR,HERNANI,Region VIII,PH082610000
Region VIII: Eastern Visayas,EASTERN SAMAR,LLORENTE,Region VIII,PH082613000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),ZUMARRAGA,Region VIII,PH086023000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,GODOD,Region IX,PH097225000
CAR,ABRA,DOLORES,Cordillera Administrative Region,PH140107000
Region VIII: Eastern Visayas,NORTHERN SAMAR,BIRI,Region VIII,PH084802000
Region I: Ilocos Region,LA UNION,CABA,Region I,PH013309000
Region VI: Western Visayas,CAPIZ,SIGMA,Region VI,PH061916000
Region IV-A: CALABARZON,QUEZON,PADRE BURGOS,Region IV-A,PH045629000
Region IV-A: CALABARZON,QUEZON,PANUKULAN,Region IV-A,PH045631000
Region IV-A: CALABARZON,QUEZON,SAN ANDRES,Region IV-A,PH045640000
Region V: Bicol Region,ALBAY,PIO DURAN,Region V,PH050513000
Region V: Bicol Region,CAMARINES SUR,BALATAN,Region V,PH051702000
Region V: Bicol Region,CAMARINES SUR,BOMBON,Region V,PH051704000
Region V: Bicol Region,CAMARINES SUR,DEL GALLEGO,Region V,PH051712000
Region V: Bicol Region,CAMARINES SUR,PRESENTACION (PARUBCAN),Region V,PH051729000
Region V: Bicol Region,MASBATE,SAN PASCUAL,Region V,PH054120000
Region VI: Western Visayas,CAPIZ,CUARTERO,Region VI,PH061901000
Region VI: Western Visayas,CAPIZ,DAO,Region VI,PH061902000
Region III: Central Luzon,NUEVA ECIJA,NAMPICUAN,Region III,PH034918000
Region VII: Central Visayas,BOHOL,DUERO,Region VII,PH071221000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,NAGA,Region IX,PH098309000
Region VII: Central Visayas,SIQUIJOR,MARIA,Region VII,PH076104000
Region VIII: Eastern Visayas,EASTERN SAMAR,GIPORLOS,Region VIII,PH082608000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),SAN SEBASTIAN,Region VIII,PH086015000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,SIBUCO,Region IX,PH097216000
Region X: Northern Mindanao,LANAO DEL NORTE,MUNAI,Region X,PH103514000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),MAKILALA,Region XII,PH124707000
Region VII: Central Visayas,BOHOL,BUENAVISTA,Region VII,PH071209000
CAR,ABRA,LICUAN-BAAY (LICUAN),Cordillera Administrative Region,PH140113000
BARMM,LANAO DEL SUR,MALABANG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153615000
BARMM,LANAO DEL SUR,MASIU,Bangsamoro Autonomous Region in Muslim Mindanao,PH153618000
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153633000
BARMM,LANAO DEL SUR,MAGUING,Bangsamoro Autonomous Region in Muslim Mindanao,PH153634000
BARMM,SULU,KALINGALAN CALUANG,Bangsamoro Autonomous Region in Muslim Mindanao,PH156603000
Region II: Cagayan Valley,NUEVA VIZCAYA,AMBAGUIO,Region II,PH025001000
Region V: Bicol Region,CAMARINES NORTE,SAN LORENZO RUIZ (IMELDA),Region V,PH051604000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),PARANAS (WRIGHT),Region VIII,PH086022000
CAR,MOUNTAIN PROVINCE,NATONIN,Cordillera Administrative Region,PH144405000
BARMM,BASILAN,UNGKAYA PUKAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH150711000
BARMM,LANAO DEL SUR,MADAMBA,Bangsamoro Autonomous Region in Muslim Mindanao,PH153614000
BARMM,MAGUINDANAO,PAGALUNGAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153810000
Region IV-A: CALABARZON,QUEZON,BUENAVISTA,Region IV-A,PH045605000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,MALITBOG,Region VIII,PH086409000
Region VIII: Eastern Visayas,BILIRAN,CABUCGAYAN,Region VIII,PH087803000
BARMM,LANAO DEL SUR,BACOLOD-KALAWI (BACOLOD GRANDE),Bangsamoro Autonomous Region in Muslim Mindanao,PH153601000
BARMM,LANAO DEL SUR,LUMBATAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153612000
BARMM,SULU,TALIPAO,Bangsamoro Autonomous Region in Muslim Mindanao,PH156613000
Region IV-A: CALABARZON,QUEZON,PATNANUNGAN,Region IV-A,PH045632000
Region V: Bicol Region,CAMARINES SUR,GARCHITORENA,Region V,PH051714000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),MARABUT,Region VIII,PH086010000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,LIBAGON,Region VIII,PH086405000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,LIMASAWA,Region VIII,PH086419000
CAR,ABRA,PIDIGAN,Cordillera Administrative Region,PH140118000
CAR,BENGUET,BAKUN,Cordillera Administrative Region,PH141103000
Region I: Ilocos Region,ILOCOS SUR,SAN ESTEBAN,Region I,PH012918000
Region IV-B: MIMAROPA,PALAWAN,LINAPACAN,Region IV-B,PH175313000
BARMM,BASILAN,HADJI MOHAMMAD AJUL,Bangsamoro Autonomous Region in Muslim Mindanao,PH150710000
BARMM,LANAO DEL SUR,DITSAAN-RAMAIN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153624000
BARMM,MAGUINDANAO,DATU PIANG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153806000
CARAGA,AGUSAN DEL SUR,LA PAZ,Region XIII,PH160304000
Region VIII: Eastern Visayas,BILIRAN,BILIRAN,Region VIII,PH087802000
CAR,ABRA,DANGLAS,Cordillera Administrative Region,PH140106000
BARMM,LANAO DEL SUR,BUBONG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153606000
BARMM,LANAO DEL SUR,POONA BAYABAO (GATA),Bangsamoro Autonomous Region in Muslim Mindanao,PH153622000
BARMM,MAGUINDANAO,NORTHERN KABUNTALAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153834000
Region II: Cagayan Valley,ISABELA,DIVILACAN,Region II,PH023111000
Region V: Bicol Region,MASBATE,MOBO,Region V,PH054113000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,SILAGO,Region VIII,PH086416000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,ALICIA,Region IX,PH098301000
Region II: Cagayan Valley,NUEVA VIZCAYA,KAYAPA,Region II,PH025010000
Region IV-A: CALABARZON,QUEZON,BURDEOS,Region IV-A,PH045606000
Region V: Bicol Region,ALBAY,MALILIPOT,Region V,PH050509000
Region V: Bicol Region,MASBATE,BALENO,Region V,PH054102000
CARAGA,SURIGAO DEL SUR,SAN AGUSTIN,Region XIII,PH166815000
Region V: Bicol Region,ALBAY,TIWI,Region V,PH050518000
Region VII: Central Visayas,SIQUIJOR,LAZI,Region VII,PH076103000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,SAN PABLO,Region IX,PH097325000
Region VIII: Eastern Visayas,NORTHERN SAMAR,SAN ANTONIO,Region VIII,PH084817000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,SAN RICARDO,Region VIII,PH086415000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,PANAON,Region X,PH104211000
Region VIII: Eastern Visayas,NORTHERN SAMAR,BOBON,Region VIII,PH084803000
CARAGA,SURIGAO DEL NORTE,PILAR,Region XIII,PH166716000
Region I: Ilocos Region,PANGASINAN,DASOL,Region I,PH015519000
Region V: Bicol Region,MASBATE,BATUAN,Region V,PH054104000
CAR,ABRA,LACUB,Cordillera Administrative Region,PH140109000
BARMM,LANAO DEL SUR,GANASSI,Bangsamoro Autonomous Region in Muslim Mindanao,PH153609000
BARMM,MAGUINDANAO,PANDAG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153833000
Region V: Bicol Region,MASBATE,PIO V. CORPUZ (LIMBUHAN),Region V,PH054116000
BARMM,MAGUINDANAO,DATU HOFFER AMPATUAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153835000
BARMM,TAWI-TAWI,SIBUTU,Bangsamoro Autonomous Region in Muslim Mindanao,PH157011000
Region I: Ilocos Region,ILOCOS SUR,QUIRINO (ANGKAKI),Region I,PH012915000
